Employee,Region,Sales,Target,Expenses
Garrott Tierny,North,132957.7,114842.52,27100.5
Rosana Pampling,North,225928.76,107181.69,60736.54
Arabelle Winsor,East,204242.24,195694.61,22423.35
Gui Castangia,South,227062.94,127193.79,39937.67
Baxy Treher,North,240212.19,148054.29,52071.89
Issy Clemenza,East,83563.66,156964.51,58969.51
Kath Dresser,South,59519.17,80533.35,25519.53
Dylan Prince,East,153846.98,105553.7,63838.68
Mab Albion,East,184353.63,166835.42,26806.37
Cort Clint,West,121106.44,191030.0,35598.71
